loggingTime(txt),loggingSample(N),identifierForVendor(txt),deviceID(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationCourse(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),locationHeadingTimestamp_since1970(s),locationHeadingX(µT),locationHeadingY(µT),locationHeadingZ(µT),locationTrueHeading(°),locationMagneticHeading(°),locationHeadingAccuracy(°),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),gyroTimestamp_sinceReboot(s),gyroRotationX(rad/s),gyroRotationY(rad/s),gyroRotationZ(rad/s),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),IP_en0(txt),IP_pdp_ip0(txt),deviceOrientation(Z),batteryState(R),batteryLevel(Z),avAudioRecorderPeakPower(dB),avAudioRecorderAveragePower(dB),state(N)
2018-07-20 14:47:16.470 +0200,11,41C63BAC-58D4-4318-A612-D91038320226,my_iOS_device,1532090836.436397,59.92916649213054,10.74722000398743,54.86145,0.61,82.96875,16,10,-9999,1532090836.450537,-5.897884368896484,5.621665954589844,-43.14717102050781,45.72594451904297,42.40009307861328,15,65384.17535825,0.087127685546875,-0.142181396484375,-1.0025634765625,65384.17535825,0.1863586920199298,0.07142491517148913,-0.06842513051962389,65384.11050825001,-2.309780310659582,0.1056809042888574,0.163609975729287,0.08503694087266922,0.1240653172135353,-0.01460588909685612,-0.01166839152574539,0.006295323371887207,0.02314853668212891,XArbitraryCorrectedZVertical,-0.08111969381570816,0.05337635055184364,0.9086742401123047,-0.4060518145561218,0.104075625538826,-0.1628810316324234,-0.9811411499977112,-6.346309661865234,5.548927307128906,-44.04011535644531,2,65381.305816375,walking,2,2018-07-20 14:47:13.595 +0200,2018-07-20 14:47:11.351 +0200,6,1.331706,0.7345917,1.7536,3,-1,-1,2018-07-20 14:47:11.675 +0200,0.0.0.0,90.142.111.79,5,1,0.11,-12.15837,-27.02358,0
2018-07-20 14:47:16.510 +0200,12,41C63BAC-58D4-4318-A612-D91038320226,my_iOS_device,1532090836.436397,59.92916649213054,10.74722000398743,54.86145,0.61,82.96875,16,10,-9999,1532090836.490546,-6.345043182373047,5.624168395996094,-44.56501770019531,45.93141937255859,42.60556411743164,15,65384.21042325001,0.1364898681640625,-0.17950439453125,-0.9547882080078125,65384.21042325001,0.1357716807977657,0.08213348591469775,-0.09866053100751149,65384.17044425,-2.311232971738614,0.1112138911233072,0.1689171398054749,0.1736133694648743,0.08562640845775604,-0.03473338857293129,-0.01672328263521194,0.01593908667564392,-0.02932530641555786,XArbitraryCorrectedZVertical,-0.08464902639389038,0.05473446846008301,0.908480703830719,-0.4055840075016022,0.1094051674008369,-0.1681150048971176,-0.9796773791313171,-6.570949554443359,5.474967956542969,-44.33662414550781,2,65381.305816375,walking,2,2018-07-20 14:47:13.595 +0200,2018-07-20 14:47:11.351 +0200,6,1.331706,0.7345917,1.7536,3,-1,-1,2018-07-20 14:47:11.675 +0200,0.0.0.0,90.142.111.79,5,1,0.11,-12.15837,-24.00425,0
2018-07-20 14:47:16.550 +0200,13,41C63BAC-58D4-4318-A612-D91038320226,my_iOS_device,1532090836.436397,59.92916649213054,10.74722000398743,54.86145,0.61,82.96875,16,10,-9999,1532090836.530494,-6.348033905029297,5.323661804199219,-43.51542663574219,46.1053466796875,42.77949142456055,15,65384.24545725001,0.122802734375,-0.17730712890625,-0.9710540771484375,65384.24545725001,0.01654169247880917,-0.001085504460316297,0.020770525973746,65384.23038125,-2.31725257405598,0.1171682219091231,0.1783638313266839,0.07933852821588516,0.05580691993236542,-0.03634373098611832,0.02692204713821411,-0.008417189121246338,0.01884579658508301,XArbitraryCorrectedZVertical,-0.08905168622732162,0.05810311436653137,0.9089567065238953,-0.4030983150005341,0.1150457188487053,-0.1774196028709412,-0.9773876667022705,-6.348033905029297,5.323661804199219,-43.51542663574219,2,65381.305816375,walking,2,2018-07-20 14:47:13.595 +0200,2018-07-20 14:47:11.351 +0200,6,1.331706,0.7345917,1.7536,3,-1,-1,2018-07-20 14:47:11.675 +0200,0.0.0.0,90.142.111.79,5,1,0.11,-12.15837,-23.09975,0
2018-07-20 14:47:16.570 +0200,14,41C63BAC-58D4-4318-A612-D91038320226,my_iOS_device,1532090836.436397,59.92916649213054,10.74722000398743,54.86145,0.61,82.96875,16,10,-9999,1532090836.530494,-6.348033905029297,5.323661804199219,-43.51542663574219,46.1053466796875,42.77949142456055,15,65384.28015525,0.1058197021484375,-0.15948486328125,-1.007888793945312,65384.28015525,-0.02013269889267202,-0.0223907931809502,-0.00703953370940645,65384.23038125,-2.31725257405598,0.1171682219091231,0.1783638313266839,0.07933852821588516,0.05580691993236542,-0.03634373098611832,0.02692204713821411,-0.008417189121246338,0.01884579658508301,XArbitraryCorrectedZVertical,-0.08905168622732162,0.05810311436653137,0.9089567065238953,-0.4030983150005341,0.1150457188487053,-0.1774196028709412,-0.9773876667022705,-6.348033905029297,5.323661804199219,-43.51542663574219,2,65381.305816375,walking,2,2018-07-20 14:47:13.595 +0200,2018-07-20 14:47:11.351 +0200,6,1.331706,0.7345917,1.7536,3,-1,-1,2018-07-20 14:47:11.675 +0200,0.0.0.0,90.142.111.79,5,1,0.11,-12.15837,-23.15921,0
2018-07-20 14:47:16.610 +0200,15,41C63BAC-58D4-4318-A612-D91038320226,my_iOS_device,1532090836.436397,59.92916649213054,10.74722000398743,54.86145,0.61,82.96875,16,10,-9999,1532090836.570454,-6.647212982177734,4.950355529785156,-44.48619079589844,46.06236267089844,42.73651123046875,15,65384.31522025001,0.0889739990234375,-0.1607208251953125,-0.9827423095703125,65384.31522025001,0.09715291551441764,-0.05869607042534641,-0.05524168417540463,65384.29031825,-2.316705786557329,0.1175028731273084,0.1789268758362273,0.004385108128190041,-0.02098769322037697,-0.0001453626900911331,-0.00954136997461319,0.01848882436752319,-0.03063905239105225,XArbitraryCorrectedZVertical,-0.08933049440383911,0.05826831236481667,0.9088019728660583,-0.4033615291118622,0.1153610646724701,-0.1779736876487732,-0.9772497415542603,-6.496990203857422,4.874855041503906,-44.71369934082031,2,65381.305816375,walking,2,2018-07-20 14:47:13.595 +0200,2018-07-20 14:47:11.351 +0200,6,1.331706,0.7345917,1.7536,3,-1,-1,2018-07-20 14:47:11.675 +0200,0.0.0.0,90.142.111.79,5,1,0.11,-12.15837,-23.87399,0
2018-07-20 14:47:16.650 +0200,16,41C63BAC-58D4-4318-A612-D91038320226,my_iOS_device,1532090836.436397,59.92916649213054,10.74722000398743,54.86145,0.61,82.96875,16,10,-9999,1532090836.610423,-5.973552703857422,4.797431945800781,-44.04721069335938,46.12401580810547,42.79816436767578,15,65384.35025425001,0.1277313232421875,-0.1938934326171875,-0.9477386474609375,65384.35025425001,0.03587597567667544,0.06297470503266771,-0.09185109441628789,65384.29031825,-2.316705786557329,0.1175028731273084,0.1789268758362273,0.004385108128190041,-0.02098769322037697,-0.0001453626900911331,-0.00954136997461319,0.01848882436752319,-0.03063905239105225,XArbitraryCorrectedZVertical,-0.08933049440383911,0.05826831236481667,0.9088019728660583,-0.4033615291118622,0.1153610646724701,-0.1779736876487732,-0.9772497415542603,-6.496990203857422,4.874855041503906,-44.71369934082031,2,65381.305816375,walking,2,2018-07-20 14:47:13.595 +0200,2018-07-20 14:47:11.351 +0200,6,1.331706,0.7345917,1.7536,3,-1,-1,2018-07-20 14:47:11.675 +0200,0.0.0.0,90.142.111.79,5,1,0.11,-12.15837,-24.84891,0
2018-07-20 14:47:16.693 +0200,17,41C63BAC-58D4-4318-A612-D91038320226,my_iOS_device,1532090836.436397,59.92916649213054,10.74722000398743,54.86145,0.61,82.96875,16,10,-9999,1532090836.651541,-6.272289276123047,4.873878479003906,-44.56730651855469,46.33316040039062,43.00730895996094,15,65384.38528825001,0.1164093017578125,-0.18878173828125,-0.9614715576171875,65384.38528825001,-0.02949344380819153,0.01814198597783779,0.0174200030063173,65384.35025425001,-2.320574927258989,0.118302307917156,0.1839527002530968,0.07454808056354523,0.08783727139234543,-0.09306687116622925,-0.01348091661930084,0.008020758628845215,0.0380699634552002,XArbitraryCorrectedZVertical,-0.09056580811738968,0.06057652086019516,0.9092773795127869,-0.4016708135604858,0.1160352379083633,-0.1829169988632202,-0.9762566685676575,-6.272289276123047,4.873878479003906,-44.56730651855469,2,65381.305816375,walking,2,2018-07-20 14:47:13.595 +0200,2018-07-20 14:47:11.351 +0200,6,1.331706,0.7345917,1.7536,3,-1,-1,2018-07-20 14:47:11.675 +0200,0.0.0.0,90.142.111.79,5,1,0.11,-12.15837,-25.24418,0
2018-07-20 14:47:16.710 +0200,18,41C63BAC-58D4-4318-A612-D91038320226,my_iOS_device,1532090836.436397,59.92916649213054,10.74722000398743,54.86145,0.61,82.96875,16,10,-9999,1532090836.694146,-5.974300384521484,4.497459411621094,-44.12263488769531,46.324462890625,42.99861145019531,15,65384.42001725001,0.1110076904296875,-0.17218017578125,-0.99334716796875,65384.42001725001,-0.02995816541841036,-0.0736182946452784,0.03744590913927714,65384.35025425001,-2.320574927258989,0.118302307917156,0.1839527002530968,0.07454808056354523,0.08783727139234543,-0.09306687116622925,-0.01348091661930084,0.008020758628845215,0.0380699634552002,XArbitraryCorrectedZVertical,-0.09056580811738968,0.06057652086019516,0.9092773795127869,-0.4016708135604858,0.1160352379083633,-0.1829169988632202,-0.9762566685676575,-6.272289276123047,4.873878479003906,-44.56730651855469,2,65381.305816375,walking,2,2018-07-20 14:47:13.595 +0200,2018-07-20 14:47:11.351 +0200,6,1.331706,0.7345917,1.7536,3,-1,-1,2018-07-20 14:47:11.675 +0200,0.0.0.0,90.142.111.79,5,1,0.11,-12.71565,-21.75764,0
2018-07-20 14:47:16.750 +0200,19,41C63BAC-58D4-4318-A612-D91038320226,my_iOS_device,1532090836.436397,59.92916649213054,10.74722000398743,54.86145,0.61,82.96875,16,10,-9999,1532090836.730209,-5.898632049560547,4.422386169433594,-44.573974609375,46.21463775634766,42.8887825012207,15,65384.45505125001,0.09521484375,-0.165130615234375,-0.954498291015625,65384.45505125001,-0.03511644213378484,-0.138673993753734,-0.002459429266688176,65384.41019125,-2.320748944606161,0.1198766731746504,0.1833282119595682,-0.01196902059018612,0.009947046637535095,0.04335961863398552,0.005827367305755615,-0.001092374324798584,-0.01584893465042114,XArbitraryCorrectedZVertical,-0.09115404635667801,0.05998298525810242,0.9092743396759033,-0.4016335010528564,0.1175857186317444,-0.1823030114173889,-0.9761859774589539,-6.123332977294922,4.573249816894531,-44.49514770507812,2,65381.305816375,walking,2,2018-07-20 14:47:13.595 +0200,2018-07-20 14:47:11.351 +0200,6,1.331706,0.7345917,1.7536,3,-1,-1,2018-07-20 14:47:11.675 +0200,0.0.0.0,90.142.111.79,5,1,0.11,-13.83021,-22.52346,0
2018-07-20 14:47:16.792 +0200,20,41C63BAC-58D4-4318-A612-D91038320226,my_iOS_device,1532090836.436397,59.92916649213054,10.74722000398743,54.86145,0.61,82.96875,16,10,-9999,1532090836.770204,-6.122661590576172,5.098014831542969,-44.04437255859375,46.19551849365234,42.86966323852539,15,65384.49008625001,0.12469482421875,-0.1868133544921875,-0.96881103515625,65384.49008625001,-0.1348299870363137,-0.02553545379611577,-0.008075237057338267,65384.47012725,-2.31892663841675,0.1141546015479439,0.1828075932403901,-0.05310377478599548,-0.0998961552977562,-0.01051377132534981,-0.01331496238708496,0.01666048169136047,0.02912205457687378,XArbitraryCorrectedZVertical,-0.08850562572479248,0.06081334501504898,0.9091930389404297,-0.4022849202156067,0.1120088174939156,-0.1817910969257355,-0.9769369959831238,-6.122661590576172,5.098014831542969,-44.04437255859375,2,65381.305816375,walking,2,2018-07-20 14:47:13.595 +0200,2018-07-20 14:47:11.351 +0200,6,1.331706,0.7345917,1.7536,3,-1,-1,2018-07-20 14:47:11.675 +0200,0.0.0.0,90.142.111.79,5,1,0.11,-14.94477,-22.95519,0
