loggingTime(txt),loggingSample(N),identifierForVendor(txt),deviceID(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationCourse(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),locationHeadingTimestamp_since1970(s),locationHeadingX(µT),locationHeadingY(µT),locationHeadingZ(µT),locationTrueHeading(°),locationMagneticHeading(°),locationHeadingAccuracy(°),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),gyroTimestamp_sinceReboot(s),gyroRotationX(rad/s),gyroRotationY(rad/s),gyroRotationZ(rad/s),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),IP_en0(txt),IP_pdp_ip0(txt),deviceOrientation(Z),batteryState(R),batteryLevel(Z),avAudioRecorderPeakPower(dB),avAudioRecorderAveragePower(dB),state(N)
2018-07-20 14:48:13.932 +0200,1,41C63BAC-58D4-4318-A612-D91038320226,my_iOS_device,1532090892.99838,59.92912143940099,10.74717180804419,57.55396,0.9,333.6328125,6,10,-9999,1532090893.929846,-8.442470550537109,5.858024597167969,-45.50611877441406,41.87025451660156,38.54440307617188,15,65441.65219279167,0.019866943359375,-0.1339111328125,-1.007400512695312,65441.65219279167,0.254929231135072,0.3412952789702327,-0.04325745927004806,65441.58734279167,-2.243767446394408,0.07723936184267127,0.1643332410994014,-0.3293390274047852,-0.1814059019088745,-0.0698653906583786,0.01224063336849213,-0.02517187595367432,-0.02115935087203979,XArbitraryCorrectedZVertical,0.07025988399982452,-0.05718810483813286,-0.8958317637443542,0.4350473284721375,0.07612300664186478,-0.163594588637352,-0.9835861325263977,-8.670452117919922,5.108757019042969,-45.12858581542969,2,65440.768358875,walking,1,2018-07-20 14:48:13.058 +0200,2018-07-20 14:47:11.351 +0200,79,1.023495,1.03423,1.655819,49.92942,-1,-1,2018-07-20 14:48:10.501 +0200,0.0.0.0,90.142.111.79,5,1,0.09,-18.68561,-25.05805,0
2018-07-20 14:48:13.970 +0200,2,41C63BAC-58D4-4318-A612-D91038320226,my_iOS_device,1532090892.99838,59.92912143940099,10.74717180804419,57.55396,0.9,333.6328125,6,10,-9999,1532090893.929846,-8.442470550537109,5.858024597167969,-45.50611877441406,41.87025451660156,38.54440307617188,15,65441.68722679167,0.1275787353515625,-0.1819000244140625,-1.034133911132812,65441.68722679167,-0.003240800730517425,0.06831913670823873,-0.07473549072256663,65441.64727979167,-2.243116358391039,0.07626919214631826,0.146112041398525,0.1134025305509567,0.1853307783603668,0.02473073452711105,-0.04294317960739136,0.03682805597782135,-0.04105854034423828,XArbitraryCorrectedZVertical,0.06592651456594467,-0.04918867349624634,-0.8965103626251221,0.4353058934211731,0.07538336515426636,-0.1455927044153214,-0.9864683151245117,-8.442470550537109,5.858024597167969,-45.50611877441406,2,65440.768358875,walking,1,2018-07-20 14:48:13.058 +0200,2018-07-20 14:47:11.351 +0200,79,1.023495,1.03423,1.655819,49.92942,-1,-1,2018-07-20 14:48:10.501 +0200,0.0.0.0,90.142.111.79,5,1,0.09,-18.68561,-24.59915,0
2018-07-20 14:48:14.009 +0200,3,41C63BAC-58D4-4318-A612-D91038320226,my_iOS_device,1532090892.99838,59.92912143940099,10.74717180804419,57.55396,0.9,333.6328125,6,10,-9999,1532090893.969598,-7.694240570068359,5.554832458496094,-45.06852722167969,42.07833099365234,38.75247573852539,15,65441.72229179167,0.096466064453125,-0.1599578857421875,-1.038681030273438,65441.72229179167,0.01856649385559642,-0.07043634977485172,0.02810114319029811,65441.70721579167,-2.247426005638827,0.08985988190085545,0.1538454591250649,-0.0747251957654953,-0.08659671247005463,-0.01869453303515911,0.03969311714172363,-0.03354354202747345,-0.06041479110717773,XArbitraryCorrectedZVertical,0.07357094436883926,-0.04986357316374779,-0.8966423273086548,0.4337290823459625,0.08867908269166946,-0.1532392948865891,-0.9842019081115723,-7.318477630615234,5.253730773925781,-45.89999389648438,2,65440.768358875,walking,1,2018-07-20 14:48:13.058 +0200,2018-07-20 14:47:11.351 +0200,79,1.023495,1.03423,1.655819,49.92942,-1,-1,2018-07-20 14:48:10.501 +0200,0.0.0.0,90.142.111.79,5,1,0.09,-18.68561,-25.33059,0
2018-07-20 14:48:14.040 +0200,4,41C63BAC-58D4-4318-A612-D91038320226,my_iOS_device,1532090892.99838,59.92912143940099,10.74717180804419,57.55396,0.9,333.6328125,6,10,-9999,1532090894.009474,-7.917675018310547,5.631050109863281,-45.73985290527344,42.05601501464844,38.73016357421875,15,65441.75699079167,0.0595245361328125,-0.1446380615234375,-0.97772216796875,65441.75699079167,0.1469183415402923,-0.007538876413796308,-0.0002463424008323295,65441.70721579167,-2.247426005638827,0.08985988190085545,0.1538454591250649,-0.0747251957654953,-0.08659671247005463,-0.01869453303515911,0.03969311714172363,-0.03354354202747345,-0.06041479110717773,XArbitraryCorrectedZVertical,0.07357094436883926,-0.04986357316374779,-0.8966423273086548,0.4337290823459625,0.08867908269166946,-0.1532392948865891,-0.9842019081115723,-7.318477630615234,5.253730773925781,-45.89999389648438,2,65440.768358875,walking,1,2018-07-20 14:48:13.058 +0200,2018-07-20 14:47:11.351 +0200,79,1.023495,1.03423,1.655819,49.92942,-1,-1,2018-07-20 14:48:10.501 +0200,0.0.0.0,90.142.111.79,5,1,0.09,-18.68561,-25.78951,0
2018-07-20 14:48:14.069 +0200,5,41C63BAC-58D4-4318-A612-D91038320226,my_iOS_device,1532090893.998312,59.92913786793121,10.74716007337975,57.51758,0.9,332.9296875,6,10,-9999,1532090894.051298,-7.620738983154297,5.254386901855469,-44.77017211914062,42.06458282470703,38.73873138427734,15,65441.79205479167,0.0762786865234375,-0.162933349609375,-0.9748077392578125,65441.79205479167,0.1118370531328965,0.06718409745164695,-0.05017688441429193,65441.76715279167,-2.246593479965388,0.08745170099824959,0.1589415708087512,0.1498910933732986,0.01890202239155769,-0.004700741730630398,-0.02671481668949127,0.01363514363765717,0.005899667739868164,XArbitraryCorrectedZVertical,0.07360251247882843,-0.05264733731746674,-0.8963223695755005,0.4340560734272003,0.08623936027288437,-0.1582732051610947,-0.9836218357086182,-7.620738983154297,5.254386901855469,-44.77017211914062,2,65440.768358875,walking,1,2018-07-20 14:48:13.058 +0200,2018-07-20 14:47:11.351 +0200,79,1.023495,1.03423,1.655819,49.92942,-1,-1,2018-07-20 14:48:10.501 +0200,0.0.0.0,90.142.111.79,5,1,0.09,-18.68561,-26.62562,0
2018-07-20 14:48:14.118 +0200,6,41C63BAC-58D4-4318-A612-D91038320226,my_iOS_device,1532090893.998312,59.92913786793121,10.74716007337975,57.51758,0.9,332.9296875,6,10,-9999,1532090894.089456,-7.845592498779297,4.805656433105469,-45.51724243164062,42.18858337402344,38.86273193359375,15,65441.82708879167,0.097869873046875,-0.18658447265625,-0.986907958984375,65441.82708879167,0.002548911479314839,-0.0384022502867246,-0.01180898890562936,65441.76715279167,-2.246593479965388,0.08745170099824959,0.1589415708087512,0.1498910933732986,0.01890202239155769,-0.004700741730630398,-0.02671481668949127,0.01363514363765717,0.005899667739868164,XArbitraryCorrectedZVertical,0.07360251247882843,-0.05264733731746674,-0.8963223695755005,0.4340560734272003,0.08623936027288437,-0.1582732051610947,-0.9836218357086182,-7.620738983154297,5.254386901855469,-44.77017211914062,2,65440.768358875,walking,1,2018-07-20 14:48:13.058 +0200,2018-07-20 14:47:11.351 +0200,79,1.023495,1.03423,1.655819,49.92942,-1,-1,2018-07-20 14:48:10.501 +0200,0.0.0.0,90.142.111.79,5,1,0.09,-18.68561,-27.65211,0
2018-07-20 14:48:14.149 +0200,7,41C63BAC-58D4-4318-A612-D91038320226,my_iOS_device,1532090893.998312,59.92913786793121,10.74716007337975,57.51758,0.9,332.9296875,6,10,-9999,1532090894.129704,-7.544155120849609,5.029640197753906,-45.896728515625,42.20156860351562,38.87571716308594,15,65441.86212379167,0.0774078369140625,-0.160003662109375,-0.9884490966796875,65441.86212379167,0.07648279071376762,-0.04377331357319641,-0.009785252793278146,65441.82708879167,-2.249375787130315,0.09034749948791868,0.1644152247000652,0.02160641551017761,-0.0205055046826601,-0.0158479493111372,0.01296661049127579,-0.02461798489093781,0.005470216274261475,XArbitraryCorrectedZVertical,0.07599455118179321,-0.05458566173911095,-0.8965657353401184,0.4329007863998413,0.08900786936283112,-0.1636754721403122,-0.9824904799461365,-7.919536590576172,4.806221008300781,-46.04106140136719,2,65440.768358875,walking,1,2018-07-20 14:48:13.058 +0200,2018-07-20 14:47:11.351 +0200,79,1.023495,1.03423,1.655819,49.92942,-1,-1,2018-07-20 14:48:10.501 +0200,0.0.0.0,90.142.111.79,5,1,0.09,-18.68561,-28.6828,0
2018-07-20 14:48:14.169 +0200,8,41C63BAC-58D4-4318-A612-D91038320226,my_iOS_device,1532090893.998312,59.92913786793121,10.74716007337975,57.51758,0.9,332.9296875,6,10,-9999,1532090894.129704,-7.544155120849609,5.029640197753906,-45.896728515625,42.20156860351562,38.87571716308594,15,65441.89685279167,0.09014892578125,-0.17437744140625,-0.99029541015625,65441.89685279167,0.2857428038956158,0.08948966947771463,-0.02178519034906619,65441.82708879167,-2.249375787130315,0.09034749948791868,0.1644152247000652,0.02160641551017761,-0.0205055046826601,-0.0158479493111372,0.01296661049127579,-0.02461798489093781,0.005470216274261475,XArbitraryCorrectedZVertical,0.07599455118179321,-0.05458566173911095,-0.8965657353401184,0.4329007863998413,0.08900786936283112,-0.1636754721403122,-0.9824904799461365,-7.919536590576172,4.806221008300781,-46.04106140136719,2,65440.768358875,walking,1,2018-07-20 14:48:13.058 +0200,2018-07-20 14:47:11.351 +0200,79,1.023495,1.03423,1.655819,49.92942,-1,-1,2018-07-20 14:48:10.501 +0200,0.0.0.0,90.142.111.79,5,1,0.09,-18.68561,-28.6828,0
2018-07-20 14:48:14.209 +0200,9,41C63BAC-58D4-4318-A612-D91038320226,my_iOS_device,1532090893.998312,59.92913786793121,10.74716007337975,57.51758,0.9,332.9296875,6,10,-9999,1532090894.169319,-6.945949554443359,4.876914978027344,-45.23152160644531,42.25927734375,38.93342208862305,15,65441.93188679167,0.0778656005859375,-0.1805267333984375,-0.91253662109375,65441.93188679167,0.2132329168960284,0.1727304977736673,-0.00321576701627068,65441.88702579167,-2.249948700346507,0.0891937661855908,0.1687686935477544,0.1928842812776566,0.05622030049562454,-0.009824442677199841,-0.0153612494468689,0.001861482858657837,0.004258096218109131,XArbitraryCorrectedZVertical,0.07638876140117645,-0.0568157322704792,-0.8965283632278442,0.4326214492321014,0.0878099724650383,-0.1679686605930328,-0.9818734526634216,-6.945949554443359,4.876914978027344,-45.23152160644531,2,65440.768358875,walking,1,2018-07-20 14:48:13.058 +0200,2018-07-20 14:47:11.351 +0200,79,1.023495,1.03423,1.655819,49.92942,-1,-1,2018-07-20 14:48:10.501 +0200,0.0.0.0,90.142.111.79,5,1,0.09,-18.68561,-29.18295,0
2018-07-20 14:48:14.249 +0200,10,41C63BAC-58D4-4318-A612-D91038320226,my_iOS_device,1532090893.998312,59.92913786793121,10.74716007337975,57.51758,0.9,332.9296875,6,10,-9999,1532090894.209383,-7.322460174560547,3.978706359863281,-45.82685852050781,42.35256195068359,39.02670669555664,15,65441.96695079167,0.1004638671875,-0.1790008544921875,-1.00048828125,65441.96695079167,-0.1788211471866785,-0.1055128444922854,-0.03947337367715447,65441.94696179167,-2.252172465156084,0.09792231661493005,0.1859004884836432,0.0193734522908926,0.07978547364473343,-0.01773635670542717,-0.01612533628940582,0.009920090436935425,0.05241799354553223,XArbitraryCorrectedZVertical,0.08387225121259689,-0.0627254992723465,-0.8958035707473755,0.4319195449352264,0.09608138352632523,-0.1848315745592117,-0.9780619144439697,-7.547451019287109,3.979606628417969,-45.82325744628906,2,65440.768358875,walking,1,2018-07-20 14:48:13.058 +0200,2018-07-20 14:47:11.351 +0200,79,1.023495,1.03423,1.655819,49.92942,-1,-1,2018-07-20 14:48:10.501 +0200,0.0.0.0,90.142.111.79,5,1,0.09,-18.68561,-23.02394,0
